id,front,back,status,tags
89,Which of the following factor increase the risk of urolithiasis? 1) increased fluid intake; 2) familial history of urolithiasis; 3) warm climate; 4) infection caused by Proteus mirabilis,"Answer: D: 2,3,4 Caveat: Legacy A treats increased fluid intake as a stone risk. Higher fluid intake is protective; family history, hot climate/dehydration and urease-producing Proteus infection increase risk -> D. Explanation: Stone risk rises with family history, hot climate/dehydration and urease-producing Proteus infection. Higher fluid intake is protective.",caveat/updated,pediatrics leks 2026 caveat_updated
90,Which of these symptoms is the least probable symptom of the extragastric presentation of gastric reflux disease in children?,"Answer: B: rickets Explanation: Most infant reflux is physiologic; alarm signs such as dysphagia, haematemesis, weight loss/faltering growth or neurologic/systemic illness prompt evaluation for GERD/other disease. Q91-Q120",valid,pediatrics leks 2026 valid
91,"A 5-year-old girl, healthy and properly developing so far, was referred to the ER because of disturbances of consciousness, poor general condition and significant dehydration with rapid, deep breathing. From anamnesis you find out that she has lost 3 kg of weight for the last 2 weeks, and begun wetting. Previously she used to drink a lot, but the last day she stopped drinking and urinating; she complained of severe abdominal pain and vomiting. Indicate the most probable diagnosis:","Answer: A: ketoacidosis in the course of previously undiagnosed diabetes mellitus Explanation: Polyuria/polydipsia, weight loss, dehydration, abdominal pain/vomiting and Kussmaul breathing = diabetic ketoacidosis until proven otherwise.",caveat/updated,pediatrics leks 2026 caveat_updated
92,Which of the following conditions are characterized by increased urine loss of phosphates? 1) Fanconi syndrome; 2) tumor lysis syndrome during chemotherapy; 3) hypophosphatemic rickets; 4) hyperparathyroidism; 5) hypoparathyroidism,"Answer: A: 1,2,3,4 Explanation: Exam anchor: 1,2,3,4. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
93,Which stage of chronic kidney disease should be diagnosed in a 16-year-old patient with lupus nephropathy and eGFR = 45 ml/min/1.73 m ?,Answer: C: 3 Explanation: Exam anchor: 3. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
94,Which of the following symptoms IS NOT characteristic of streptococcal pharyngitis and tonsillitis?,"Answer: A: mucus discharge in the nasal passages Caveat: Legacy E labels a scarlatiniform rash as “not characteristic,” but scarlet fever is a GAS toxin manifestation. Coryza/mucous nasal discharge argues against GAS pharyngitis -> A. Explanation: Coryza/nasal discharge argues strongly against classic GAS pharyngitis. Palatal petechiae, tender anterior cervical nodes and a scarlatiniform rash can occur with GAS.",caveat/updated,pediatrics leks 2026 caveat_updated
95,"A 3-year-old girl came to the clinic because of malaise, abdominal pain, and oedema localized mainly in the lower limbs. The urinalysis revealed: the SG-1.030, pH-6.0, erythrocytes-0-1 in the field of vision, leukocytes-0-1 in the field of vision, protein-1170 mg/dL, nitrites-absent. Which of the following is the most likely diagnosis?",Answer: E: nephrotic syndrome Explanation: Heavy proteinuria + oedema + hypoalbuminaemia is nephrotic syndrome.,valid,pediatrics leks 2026 valid
96,Indicate the correct sentence concerning bronchiolitis:,"Answer: D: it is the most common form of inflammation in the lower respiratory tract in infants Explanation: Bronchiolitis is usually viral (RSV common) in infants; treatment is mainly supportive with oxygen/hydration as needed, not routine antibiotics or bronchodilators.",valid,pediatrics leks 2026 valid
97,"Which of the following are characteristic of Wilson disease in children? 1) excessive storage of copper in the liver accompanied by the increased serum activity of aminotransferases; 2) frequent neurological disorders, especially dysarthria; 3) frequent presence of Kayser- Fleischer ring of the cornea; 4) increased serum ceruloplasmin concentration; 5) increased urinary copper excretion","Answer: C: 1,5 Caveat: Legacy A overstates frequent neurologic/Kayser-Fleischer findings in children and omits increased urinary copper. In paediatric hepatic Wilson disease, increased hepatic copper/transaminases plus increased urinary copper are the clean pair -> C. Explanation: Wilson disease: hepatic copper accumulation and increased urinary copper excretion; ceruloplasmin is usually low. Kayser-Fleischer rings/neurologic disease are less common in young children than in adolescents/adults.",caveat/updated,pediatrics leks 2026 caveat_updated
98,Inhaled corticosteroids may be used in the treatment of:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: Nebulized budesonide is an accepted croup treatment, while ICS-containing treatment is fundamental in modern asthma care. The wording makes more than one option defensible, so a single answer is unsafe. Explanation: INVALID/UPDATED: nebulized budesonide is effective for croup, and modern asthma care uses ICS-containing treatment across essentially all persistent asthma severities. The option wording creates more than one defensible statement.",invalid/outdated,pediatrics leks 2026 invalid_outdated
99,"A 10-year-old child was referred to the out-patient pulmonary clinic because of a chronic cough and recurrent respiratory tract infections, usually occurring with an expectoration of purulent sputum. The medical history shows meconium ileus after the birth and a small body weight gain. The episodes of steatorrhea are also present. Which of the following is the most probable diagnosis?",Answer: D: cystic fibrosis Explanation: Exam anchor: cystic fibrosis. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
100,Phakomatoses DO NOT include:,Answer: E: Tay-Sachs disease Explanation: Exam trap: Tay-Sachs disease is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
101,A child weighing 12 kg with the fever of 40 °C can be given once: 1) 3 mL syrup with the concentration of 200 mg/5 mL of ibuprofen; 2) 6 mL syrup with the concentration of 100 mg/5 mL of ibuprofen; 3) 1.8 mL syrup with the concentration of 100 mg/1 mL of paracetamol; 4) 5 mL syrup with the concentration of 120 mg/5 mL of paracetamol; 5) 7.5 mL syrup with the concentration of 120 mg/5 mL of paracetamol; 6) 240 mg of ibuprofen in a suppository,"Answer: B: 1,2,3,4,5 Caveat: Legacy A includes a 240 mg ibuprofen suppository for a 12-kg child (20 mg/kg), which is above the usual single 5-10 mg/kg dose. Items 1-5 fall within common single-dose ranges -> B. Explanation: For a 12-kg child, standard single doses are paracetamol about 10-15 mg/kg and ibuprofen about 5-10 mg/kg. A 240-mg ibuprofen suppository is ~20 mg/kg and too high as a routine single dose.",caveat/updated,pediatrics leks 2026 caveat_updated
102,Moro reflex:,Answer: C: is present from the birth and disappears between 3 and 6 month of life Explanation: Exam anchor: is present from the birth and disappears between 3 and 6 month of life. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
103,"Short stature may be observed in the following disorders, EXCEPT for:",Answer: B: Marfan syndrome Explanation: Exam trap: Marfan syndrome is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
104,"Indicate the true statements concerning pneumonia caused by Chlamydia trachomatis: 1) it occurs in neonates in the first weeks of life; 2) it is an example of atypical infection and usually occurs in school children; 3) clinical signs include mainly dry, spasmodic, whooping-like cough; 4) clinical signs include conjunctivitis, rhinitis, cough and vomiting","Answer: A: 1,3 Explanation: Exam anchor: 1,3. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
105,"Which of the following are features of acute diarrhea in children? 1) it is an infectious disease; 2) passing three or more liquid or semi-liquid stools daily; 3) passing stools containing blood, pus or significant amounts of mucus; th rd th 4) symptoms last up to 2 weeks","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The item mixes definition, frequency, stool count and aetiology in a way that depends on age and baseline stool pattern. Multiple statements can be challenged, so no stable modern combination should be memorized. Explanation: WORDING PROBLEM: acute diarrhoea is usually defined as >=3 loose/watery stools in 24 h lasting <14 days. Blood/mucus may occur but is not required, and not every acute diarrhoea episode is necessarily infectious.",invalid/outdated,pediatrics leks 2026 invalid_outdated
106,Indicate the FALSE statement concerning tuberculosis in children:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: IGRA can be useful in paediatric TB assessment and bronchoscopy is not a routine test for every child with suspected TB. More than one option is false, defeating the single-FALSE stem. Explanation: INVALID: IGRA can be useful in paediatric TB evaluation and bronchoscopy is not a routine standard test for every child. More than one offered statement is false.",invalid/outdated,pediatrics leks 2026 invalid_outdated
107,Indicate the correct sentence about infectious mononucleosis:,"Answer: A: it is caused by a virus of Herpesviridae family, also responsible for diseases running with cell proliferation: malignant granulomatosis and Burkitt lymphoma Explanation: EBV mononucleosis: fever, pharyngitis, posterior cervical lymphadenopathy and atypical lymphocytosis; avoid contact sports when splenomegaly is present.",valid,pediatrics leks 2026 valid
108,Which complication DOES NOT occur in patients after liver transplantation?,Answer: B: graft versus host disease Explanation: Exam trap: graft versus host disease is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
109,"A child refers to the physician with small petechiae on the thighs, joint pains and proteinuria. The mother reports that 2 weeks earlier her child had bacterial pharyngitis. Which of the following should be suspected?",Answer: A: Henoch-Schönlein purpura Explanation: Exam anchor: Henoch-Schönlein purpura. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
110,"The mother of a 2-year-old boy is concerned with her child’s diet. He doesn’t want to eat vegetables or meat and demands milk desserts or sweet drinks only. His height and weight are at the level of a 50th centile. The boy doesn’t present any signs of infection but he was treated with oral antibiotics twice in his life, for pharyngitis and bronchitis. There are no alarming symptoms. On the complete blood count: leucocytes-8,400/ mm , hemoglobin-9.1 g/dL, MCV-62 fL, platelets-330 000/mm . Fasting glucose-88 mg%. Indicate the correct decision and its justification:",Answer: E: treatment with oral iron preparations and vitamins because the symptoms and lab tests suggest iron deficiency anemia Explanation: Exam anchor: treatment with oral iron preparations and vitamins because the symptoms and lab tests suggest iron deficiency anemia. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
111,An increased aminotransferase activity DOES NOT occur in:,Answer: D: iron-deficiency anemia Explanation: Exam trap: iron-deficiency anemia is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
112,Which of the following is used to diagnose constipation? 1) manometry; 2) Hinton test; 3) hydrogen test; 4) bowel contrast enema; 5) gastrofiberoscopy,"Answer: B: 1,2,4 Caveat: Legacy A includes a hydrogen breath test as a standard constipation test. Functional constipation is primarily clinical; when selected testing is needed, anorectal manometry, transit-marker (Hinton) study and contrast enema are relevant -> B. Explanation: Constipation work-up can include anorectal manometry, colonic-transit testing (Hinton markers) and contrast enema in selected cases; hydrogen breath testing is not a standard constipation test.",caveat/updated,pediatrics leks 2026 caveat_updated
113,"A two-year-old child unvaccinated (parents’ decision) came back home after two-week’s vacation from Ukraine. After a week the child developed high fever, dry cough, nasal discharge and conjunctivitis with eyelid edema. After three days numerous grayish- white papules appeared on the cheek mucosa and after another two days as the fever dropped, a rash appeared on the forehead and then it spread. The child should be diagnosed with:",Answer: B: measles Explanation: Exam anchor: measles. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
114,Which of the following are secondary disturbances typical of nephrotic syndrome? 1) increased triglyceride and cholesterol serum concentrations; 2) vitamin D deficiency; 3) hyperthyroidism; 4) decreased fibrinogen concentration; 5) decreased immunoglobulin serum concentration,"Answer: B: 1,2,5 Caveat: Legacy A includes hyperthyroidism and omits vitamin-D deficiency. Nephrotic syndrome causes hyperlipidaemia, urinary loss of vitamin-D-binding protein and immunoglobulins, and a prothrombotic state with fibrinogen tending to rise, not fall -> B. Explanation: Nephrotic syndrome causes hyperlipidaemia, urinary loss of vitamin-D-binding protein and immunoglobulins, and a prothrombotic state (often increased, not decreased, fibrinogen).",caveat/updated,pediatrics leks 2026 caveat_updated
115,Systemic Inflammatory Response Syndrome (SIRS) is characterized by the sudden appearance of at least 2 symptoms:,"Answer: D: body temperature >38.5C degrees or <36 C degrees and tachypnea or tachycardia Explanation: This is the older paediatric SIRS framework: >=2 abnormal temperature/HR/RR/WBC criteria, with abnormal temperature or leukocyte count required. Modern sepsis definitions focus on infection-associated organ dysfunction rather than SIRS alone.",caveat/updated,pediatrics leks 2026 caveat_updated
116,"Lumbar puncture in children is absolutely indicated in the following clinical situations, EXCEPT for:",Answer: A: newborn with spinal dysraphism Explanation: Exam trap: newborn with spinal dysraphism is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
117,A 5-year-old girl was hospitalized a dozen times in various pediatric wards because of unspecific symptoms and yet is undiagnosed. Acute symptoms subsided while the mother was absent at the ward. The results of numerous performed test are inconclusive and contradictory. The mother is alert and asks to repeat blood tests and to perform additional imaging examinations. The described picture may suggest:,Answer: C: Munchausen syndrome by proxy (factitious disorder) Explanation: Exam anchor: Munchausen syndrome by proxy (factitious disorder). Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
118,Which of following diseases DOES NOT lead to height restriction?,Answer: C: adrenal insufficiency Explanation: Exam trap: adrenal insufficiency is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
119,"A 3-year-old boy was admitted to the hospital because of oliguria and generalized oedema. Laboratory findings show proteinuria 500 mg/mmol creatinine, albuminemia 15 g/L. The treatment of choice is:",Answer: B: glucocorticosteroids Explanation: Exam anchor: glucocorticosteroids. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
120,Indicate the set of heart rate (HR) and arterial blood pressure (RR) values normal in a one-year-old child:,"Answer: A: HR: 105/min, RR: 85/60 mmHg Explanation: Exam anchor: HR: 105/min, RR: 85/60 mmHg. Retain this as the single best answer for the clinical fact tested in this stem. Q121-Q150",valid,pediatrics leks 2026 valid
121,Indicate the true statement concerning bronchitis in children:,"Answer: B: nebulization with 3% solution of sodium chloride can be used to ease the symptoms of acute bronchitis Explanation: Acute bronchitis is usually viral; routine antibiotics and chest radiography are not indicated. Hypertonic saline is mainly evidence-based in bronchiolitis contexts, so interpret the source wording cautiously.",caveat/updated,pediatrics leks 2026 caveat_updated
122,Indicate the true statement concerning newly diagnosed immune thrombocytopenia:,"Answer: C: it can be diagnosed only if the platelet count in the peripheral blood is < 100 x 10 /µL and disorders are excluded that might suggest other reason for thrombocytopenia (e.g. lymphadenopathy, hepatomegaly, anemia, abnormal WBC) Explanation: Exam anchor: it can be diagnosed only if the platelet count in the peripheral blood is < 100 x 10 /µL and disorders are excluded that might suggest other reason for thrombocytopenia (e.g. lymphadenopathy, hepatomegaly, anemia, abnormal WBC). Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
123,Which of the following concerning Allagille syndrome is FALSE ?,"Answer: E: elevated total bilirubin levels, with a predominance of indirect Explanation: Alagille syndrome is usually JAG1/NOTCH2-related cholestasis with bile-duct paucity, heart disease, butterfly vertebrae and characteristic facies; bilirubin is conjugated.",valid,pediatrics leks 2026 valid
124,Which of the exams is decisive in the differentiation of malignant disease of blood from systemic onset juvenile idiopathic arthritis?,Answer: C: bone marrow biopsy Explanation: Exam anchor: bone marrow biopsy. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
125,"Productive cough is typical of the following diseases, EXCEPT from:",Answer: D: pertussis Explanation: Exam trap: pertussis is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
126,Which procedure is necessary for the diagnosis of Wilms’ tumour?,Answer: C: abdominal ultrasound and/or computed tomography Explanation: Wilms tumour is commonly managed under SIOP-style protocols with imaging-based diagnosis and preoperative chemotherapy; routine pre-op biopsy is avoided in typical resectable cases because it can alter staging.,caveat/updated,pediatrics leks 2026 caveat_updated
127,A 4-month-old infant was admitted to the hospital and diagnosed with bronchiolitis. Prior to the infection the child was healthy. In the rapid test of the smear from the nasopharynx RSV (respiratory syncytial virus) antigens were detected. Indicate the proper treatment in this case:,"Answer: A: symptomatic treatment Explanation: Bronchiolitis is usually viral (RSV common) in infants; treatment is mainly supportive with oxygen/hydration as needed, not routine antibiotics or bronchodilators.",valid,pediatrics leks 2026 valid
128,The antibiotic of choice in the treatment of streptococcal pharyngitis is:,Answer: C: penicillin Explanation: Exam anchor: penicillin. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
129,A mother reported to the pediatrician with her 10-year-old son because of hearing impairment. Medical history showed that boy’s uncle suffers from hypoacusis. The urine test showed erythrocyturia and mild proteinuria. Which of the following is the most probable cause of the symptoms?,Answer: A: Alport syndrome Explanation: Exam anchor: Alport syndrome. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
130,A reaction of the balance system examined in order to assess the psychomotor development of a neonate is called:,Answer: B: Landau reflex Explanation: The Landau/parachute-type postural reflexes emerge during infancy; persistent primitive reflexes or absent expected protective reactions suggest neurologic dysfunction.,caveat/updated,pediatrics leks 2026 caveat_updated
131,"A 11-year-old boy called on the doctor with the results of the urinary test performed in the afternoon, which showed proteinuria of 300 mg/dL. Which of the following is the most probable cause?",Answer: D: orthostatic proteinuria Explanation: Exam anchor: orthostatic proteinuria. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
132,Within what time in the period of infectivity will an immunocompetent child display chickenpox signs after contacting an infectious patient (with chickenpox)?,Answer: D: 15 days Explanation: Varicella produces crops of pruritic vesicles in different stages; crusted lesions are no longer infectious.,caveat/updated,pediatrics leks 2026 caveat_updated
133,"In the case of the mother being a carrier of the mutated gene, the risk that her son will be ill with haemophilia A is:",Answer: C: 50% Explanation: Exam anchor: 50%. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
134,Celiac disease can coexist with many other autoimmune diseases including: 1) autoimmune hepatitis; 2) Hashimoto's disease; 3) Duhring's disease; 4) Sjögren's disease; 5) Crohn's disease; 6) type II diabetes,"Answer: C: 1,2,3,4 Caveat: Legacy A says all six associations are true, including type 2 diabetes and Crohn disease as if they were the standard autoimmune cluster. The classic associated immune diseases in the list are autoimmune hepatitis, Hashimoto thyroiditis, dermatitis herpetiformis and Sjogren syndrome -> C. Explanation: Coeliac disease can cause malabsorption, poor growth, iron deficiency and extraintestinal symptoms; screen with tTG-IgA plus total IgA while the child is eating gluten.",caveat/updated,pediatrics leks 2026 caveat_updated
135,"Idiopathic musculoskeletal disorder affecting children, often referred to as body growth pain, is the reason for visiting a pediatrician. Which symptoms allow to make such a diagnosis?","Answer: D: normal walk, pains never occur in the morning, normal laboratory test results Explanation: Exam anchor: normal walk, pains never occur in the morning, normal laboratory test results. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
136,The factors behind the development of urinary tract infection in children include: 1) urinary retention; 2) anatomical defects of the urinary system; 3) diabetes; 4) urinary catheterization; 5) constipation,Answer: A: all the above Explanation: Exam anchor: all the above. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
137,The symptoms of primary adrenal insufficiency include: 1) increased arterial pressure; 2) lowered arterial pressure; 3) light skin; 4) dark skin; 5) delayed puberty; 6) precocious puberty,"Answer: C: 2,4,5 Caveat: Legacy A pairs hypotension with light skin. Primary adrenal insufficiency causes hypotension + hyperpigmentation and can delay growth/puberty -> 2,4,5 = C. Explanation: Primary adrenal insufficiency causes hypotension, hyperpigmentation, weight loss and often delayed growth/puberty; crisis can cause shock and hypoglycaemia.",caveat/updated,pediatrics leks 2026 caveat_updated
138,Indicate the FALSE statement concerning vaccines:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: At least two statements are false: PPSV23 is not the routine vaccine for children under 2, and whole-cell DTP is not a “conjugate” vaccine. The stem therefore has no unique false answer. Explanation: INVALID: PPV23 is not used to immunize neonates/children <2 years, and whole-cell DTP is not a “conjugate vaccine.” Thus more than one option is false. PCV is the conjugate pneumococcal vaccine for young children.",invalid/outdated,pediatrics leks 2026 invalid_outdated
139,Indicate the FALSE statement concerning impetigo:,Answer: E: Lisch nodules are found in more than 90% of patients with impetigo Explanation: Impetigo causes superficial vesicles/pustules with honey-coloured crust; S. aureus and GAS are typical pathogens.,valid,pediatrics leks 2026 valid
140,Jaundice connected with breast-feeding is probably the result of:,Answer: C: delayed first feeding and not enough feeding Explanation: Exam anchor: delayed first feeding and not enough feeding. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
141,"In the case of a girl of a short stature, with primary amenorrhea, coarctation of the aorta and a dysmorphic face the most likely clinical diagnosis is:",Answer: D: Turner syndrome Explanation: Exam anchor: Turner syndrome. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
142,WHICH OF THE FOLLOWING IS NOT a cause of cardiogenic syncope in children?,Answer: D: abnormal self-regulation of heart rate and blood pressure during long time standing Explanation: Exam trap: abnormal self-regulation of heart rate and blood pressure during long time standing is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
143,"A foreign body in the bronchus may cause any of the following, EXCEPT for:",Answer: D: pain that increases with neck movements Explanation: Exam trap: pain that increases with neck movements is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
144,The most common complication of streptococcal pharyngitis in children is:,"Answer: D: peritonsillar abscess Explanation: Source answer retained with wording caveat: suppurative complications of GAS tonsillitis include peritonsillar/retropharyngeal abscess, cervical adenitis, otitis and sinusitis; “most common” depends on the source and population.",caveat/updated,pediatrics leks 2026 caveat_updated
145,The tests used for the examination of strabismus in children include: 1) alternating eye covering and uncovering test; 2) corneal reflex test; 3) Hirschberg test; 4) cover test; 5) Adams test,"Answer: B: 1,2,3,4 Caveat: Legacy A includes the Adams forward-bend test, which assesses scoliosis, not strabismus. Cover/uncover, corneal light reflex/Hirschberg and cover testing are appropriate -> B. Explanation: Exam anchor: 1,2,3,4. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
146,In which of the following diseases may post-exposure prophylaxis be used? 1) mumps; 2) measles; 3) pertussis; 4) varicella; 5) Neisseria meningitidis infection,"Answer: D: 2,3,4,5 Caveat: The source key A includes mumps and omits pertussis/varicella/meningococcal disease. Effective post-exposure measures exist for measles, pertussis, varicella and meningococcal exposure; routine mumps PEP is not effective -> D. Explanation: Post-exposure measures exist for measles, hepatitis A, varicella and meningococcal exposure in appropriate circumstances; there is no reliable post-exposure prophylaxis that prevents mumps after exposure.",caveat/updated,pediatrics leks 2026 caveat_updated
147,Which of the following genetic disorders IS NOT related to the increased risk of malignancy in children?,Answer: E: familial Mediterranean fever Explanation: Exam trap: familial Mediterranean fever is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
148,The presence of multiple adenomatous polyps on endoscopic examination of the digestive tract and co-existing soft tissue fibromas on the arms and the shanks give rise to a suspicion of:,Answer: A: Gardner syndrome Explanation: Exam anchor: Gardner syndrome. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
149,Can a child be diagnosed with diabetes using oral glucose tolerance test?,"Answer: D: yes, the dose of glucose is calculated as 1.75 g/kg b.w., no more than 75 g Explanation: Exam anchor: yes, the dose of glucose is calculated as 1.75 g/kg b.w., no more than 75 g. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
150,Urinary system infection in children IS NOT testified by:,Answer: A: dilation of the renal pelvis and calyces observed in ultrasound imaging Explanation: Exam trap: dilation of the renal pelvis and calyces observed in ultrasound imaging is the excluded/false choice. The table/true-set above shows what remains correct. Q151-Q180,valid,pediatrics leks 2026 valid
151,"A 7-year-old boy with a food allergy, with an history of anaphylactic shock after drinking of cow's milk, reports to the family doctor complaining of general weakness and eyelid swelling. The symptoms have persisted for over 2 days. Numerous fresh traces of insect bites are visible on the skin. Swelling of the face and lower legs. The heart rate and blood pressure are normal. The result of a rapid test determining the concentration of CRP in capillary blood-normal. Urine test strip: leukocytes (+), protein (+++). The child is referred to the hospital. What diagnosis do you consider the most…","Answer: E: suspected nephrotic syndrome Explanation: Food allergy diagnosis starts with a compatible history; targeted IgE testing supports sensitization, while supervised oral food challenge is the reference standard when needed.",valid,pediatrics leks 2026 valid
152,The target HbA1c value in preschool children with type 1 diabetes mellitus is:,"Answer: B: <7.0% Caveat: Legacy A reflects older/overly stringent preschool targets. ADA 2026 states A1C <7% is appropriate for most children/adolescents; <6.5% is a selected-individual target, not the default -> B. Explanation: 2026 diabetes target: A1C goals are individualized; <7% is appropriate for most children/adolescents with diabetes. <6.5% may be appropriate for selected patients if safely achievable.",caveat/updated,pediatrics leks 2026 caveat_updated
153,The prevention of food allergy DOES NOT include:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The stem reflects older food-allergy prevention advice. Current prevention includes timely introduction of allergenic foods rather than maternal avoidance/delayed introduction, and several offered statements are outdated, so there is no single durable “does not include” choice. Explanation: OUTDATED FOOD-ALLERGY PREVENTION ITEM: routine maternal allergen avoidance, delaying allergenic solids, prophylactic hydrolysed formula and goat milk are not universal prevention strategies. Current prevention emphasizes normal varied feeding and timely introduction of allergens such as peanut/egg in age-appropriate forms for many infants.",invalid/outdated,pediatrics leks 2026 invalid_outdated
154,"The sudden onset of a disease in a child with a high fever, headaches, vomiting, fine spotted rash on the skin, and “raspberry tongue” is the clinical description of:",Answer: C: scarlet fever Explanation: Exam anchor: scarlet fever. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
155,The definition of 1 carbohydrate exchange (CE) includes an amount of the product comprising:,Answer: B: 10 g of carbohydrates Explanation: Exam anchor: 10 g of carbohydrates. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
156,The serum glycemia level of 156 mg/dl in the 120 minute of the OGTT in a child is interpreted as:,Answer: C: abnormal glucose tolerance Explanation: Exam anchor: abnormal glucose tolerance. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
157,Which of the following is recommended in the treatment of urinary tract infection in a neonate?,Answer: E: ampicillin with gentamicin. th Explanation: Exam anchor: ampicillin with gentamicin. th. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
158,Uveitis is one of the symptoms of juvenile idiopathic arthritis that may lead to eyesight damage. In which type of juvenile idiopathic arthritis does uveitis occur most frequently?,Answer: D: oligoarticular Explanation: Exam anchor: oligoarticular. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
159,Constricted pupils may be observed in:,Answer: B: opioid intoxication Explanation: Exam anchor: opioid intoxication. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
160,In the case of which infectious disease it IS NOT possible to apply prevention by vaccination?,Answer: D: infectious mononucleosis Explanation: Exam trap: infectious mononucleosis is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
161,Cerebral palsy is a non-progressing disorder of motoric and postural functions caused by the defect of:,"Answer: A: CNS during its development (during pregnancy, labor or in perinatal period) Explanation: Exam anchor: CNS during its development (during pregnancy, labor or in perinatal period). Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
162,"A woman came to the GP with her one-year-old son because of a trivial viral infection of the upper respiratory tract. The doctor noticed paleness of the child. The boy had been fed non-modified cow milk since 6 months of age. He is unwilling to eat anything else than porridge with cow milk. The complete blood count shows: RBC 4 x 10 /µL, Hgb 9.0 g/dL, MCV 60 fL, RDW 18%, PLT 480 x 10 /µL, WBC 9 x 10 /µL. The child had NEVER taken any medications. Indicate the correct management:",Answer: E: iron-deficiency anemia should be diagnosed and an oral iron preparation should be prescribed as well as diet modification should be advised Explanation: Exam anchor: iron-deficiency anemia should be diagnosed and an oral iron preparation should be prescribed as well as diet modification should be advised. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
163,"A 4-month-old girl was admitted to the hospital because of low weight gain, after the second episode of rectal prolapse. In the past she presented prolonged jaundice till 5 week of age. Currently, sporadic cough. On physical examination, apart from dystrophy, without significant abnormalities. Until now she has been neither diagnosed, nor hospitalized. In lab. evaluation the concentrations of serum ions were as follows: Na-128 mmol/l, Cl-88 mmol/l. What is the most probable diagnosis?",Answer: C: cystic fibrosis Explanation: Exam anchor: cystic fibrosis. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
